temp	Na	Det	N
10	2	2	0
20	2	2	0
30	2	2	0
40	2	2	0
50	2	2	0
60	2	2	0
70	2	2	0
80	2	2	0
90	2	2	0
100	2	2	0
110	2	2	0
120	2	2	0
130	2	2	0
140	2	2	0
150	2	2	0
160	2	2	0
170	2	2	0
180	2	2	0
190	2	2	0
200	2	2	0
210	2	2	0
220	2	2	0
230	2	2	0
240	2	2	0
250	2	2	0
260	2	2	0
270	2	2	0
280	2	2	0
290	2	2	0
300	2	2	0
310	2	2	0
320	2	2	0
330	2	2	0
340	2	2	0
350	2	1	1
360	2	2	0
370	2	2	0
380	2	2	0
390	2	2	0
400	2	2	0
410	2	2	0
420	2	2	0
430	2	2	0
440	2	2	0
450	2	2	0
460	2	2	0
470	2	2	0
480	2	2	0
490	2	2	0
500	2	2	0
510	2	2	0
520	2	2	0
530	2	2	0
540	2	2	0
550	2	2	0
560	2	2	0
570	2	2	0
580	2	2	0
590	2	2	0
600	2	2	0
610	2	2	0
620	2	2	0
630	2	2	0
640	2	2	0
650	2	2	0
660	2	2	0
670	2	2	0
680	2	2	0
690	2	2	0
700	2	2	0
710	2	2	0
720	2	2	0
730	2	2	0
740	2	2	0
750	2	2	0
760	2	2	0
770	2	2	0
780	2	2	0
790	2	2	0
800	2	2	0
810	2	2	0
820	2	2	0
830	2	2	0
840	2	2	0
850	2	2	0
860	2	2	0
870	2	2	0
880	2	2	0
890	2	2	0
900	2	2	0
910	2	2	0
920	2	2	0
930	2	2	0
940	2	2	0
950	2	2	0
960	2	2	0
970	2	2	0
980	2	2	0
990	2	2	0
1000	2	2	0
1010	2	2	0
1020	2	2	0
1030	2	2	0
1040	2	2	0
1050	2	2	0
1060	2	2	0
1070	2	2	0
1080	2	2	0
1090	2	2	0
1100	2	2	0
1110	2	2	0
1120	2	2	0
1130	2	2	0
1140	2	2	0
1150	2	2	0
1160	2	2	0
1170	2	2	0
1180	2	2	0
1190	2	2	0
1200	2	2	0

